Timestamp,Folder Name,Class Name,Meet Code,Session Date,Status
2025-07-24 17:06:02.898,2025-06-12 17:34 ecg-nndy-umh,AI Jan 25,ecg-nndy-umh,2025-06-12,Processed
2025-07-24 17:08:32.390,2025-06-19 18:01 ecg-nndy-umh,AI Jan 25,ecg-nndy-umh,2025-06-19,Processed
2025-07-24 17:11:51.202,2025-06-26 17:44 ecg-nndy-umh,AI Jan 25,ecg-nndy-umh,2025-06-26,Processed
2025-07-24 17:15:58.731,2025-07-03 17:55 ecg-nndy-umh,AI Jan 25,ecg-nndy-umh,2025-07-03,Processed
2025-07-24 17:21:58.343,2025-07-10 17:52 ecg-nndy-umh,AI Jan 25,ecg-nndy-umh,2025-07-10,Processed
2025-07-24 17:24:24.871,2025-07-14 17:41 rna-gvmc-zds,Monday Night Speaker,rna-gvmc-zds,2025-07-14,Speaker Session Logged
2025-07-24 17:26:11.622,2025-07-14 18:22 rna-gvmc-zds,Monday Night Speaker,rna-gvmc-zds,2025-07-14,Speaker Session Logged
2025-07-24 17:29:52.695,2025-07-15 17:56 kan-ptwt-ehz,Web Jan 25,kan-ptwt-ehz,2025-07-15,Processed
2025-07-24 17:31:46.620,2025-07-15 17:47 wrt-nsga-feo,Data Jan 25,wrt-nsga-feo,2025-07-15,Processed
2025-07-24 17:34:14.317,2025-07-15 17:39 jnt-wxek-pqh,IT May 25,jnt-wxek-pqh,2025-07-15,Processed
2025-07-24 17:36:42.174,2025-07-15 17:52 gfq-aghr-gbi,Web May 25,gfq-aghr-gbi,2025-07-15,Processed
2025-07-24 17:40:49.245,2025-07-15 17:26 rit-sszz-pbh,Data May 25,rit-sszz-pbh,2025-07-15,Processed
2025-07-24 17:45:55.693,2025-07-16 17:51 kan-ptwt-ehz,Web Jan 25,kan-ptwt-ehz,2025-07-16,Processed
2025-07-24 17:49:41.037,2025-07-16 17:47 wrt-nsga-feo,Data Jan 25,wrt-nsga-feo,2025-07-16,Processed
2025-07-24 17:53:07.705,2025-07-16 18:00 kan-ptwt-ehz,Web Jan 25,kan-ptwt-ehz,2025-07-16,Processed
2025-07-24 17:57:25.313,2025-07-16 17:48 rit-sszz-pbh,Data May 25,rit-sszz-pbh,2025-07-16,Processed
2025-07-24 18:02:06.733,2025-07-16 17:27 gfq-aghr-gbi,Web May 25,gfq-aghr-gbi,2025-07-16,Processed
2025-07-24 18:06:51.120,2025-07-17 17:53 wrt-nsga-feo,Data Jan 25,wrt-nsga-feo,2025-07-17,Processed
2025-07-24 18:10:22.386,2025-07-17 17:37 gfq-aghr-gbi,Web May 25,gfq-aghr-gbi,2025-07-17,Processed
2025-07-24 18:13:30.324,2025-07-17 17:42 ecg-nndy-umh,AI Jan 25,ecg-nndy-umh,2025-07-17,Processed
2025-07-24 18:17:07.916,2025-07-17 17:34 rit-sszz-pbh,Data May 25,rit-sszz-pbh,2025-07-17,Processed
2025-07-24 18:20:12.541,2025-07-21 17:40 rna-gvmc-zds,Monday Night Speaker,rna-gvmc-zds,2025-07-21,Speaker Session Logged
2025-07-24 18:24:13.783,2025-07-22 17:52 kan-ptwt-ehz,Web Jan 25,kan-ptwt-ehz,2025-07-22,Processed
2025-07-24 18:27:29.263,2025-07-22 17:25 rit-sszz-pbh,Data May 25,rit-sszz-pbh,2025-07-22,Processed
2025-07-24 18:30:41.465,2025-07-22 17:45 gfq-aghr-gbi,Web May 25,gfq-aghr-gbi,2025-07-22,Processed
2025-07-24 18:34:53.590,2025-07-22 17:33 jnt-wxek-pqh,IT May 25,jnt-wxek-pqh,2025-07-22,Processed
2025-07-24 18:38:19.460,2025-07-22 17:54 wrt-nsga-feo,Data Jan 25,wrt-nsga-feo,2025-07-22,Processed
2025-07-24 18:42:47.258,2025-07-23 17:45 wrt-nsga-feo,Data Jan 25,wrt-nsga-feo,2025-07-23,Processed
2025-07-24 18:46:05.198,2025-07-23 17:56 kan-ptwt-ehz,Web Jan 25,kan-ptwt-ehz,2025-07-23,Processed
2025-07-24 18:50:39.226,2025-07-23 16:17 gfq-aghr-gbi,Web May 25,gfq-aghr-gbi,2025-07-23,Processed
2025-07-24 18:53:56.221,2025-07-23 17:48 rit-sszz-pbh,Data May 25,rit-sszz-pbh,2025-07-23,Processed
2025-07-24 18:58:15.996,2025-07-24 17:44 wrt-nsga-feo,Data Jan 25,wrt-nsga-feo,2025-07-24,Processed
2025-07-24 19:01:58.202,2025-07-24 17:54 kan-ptwt-ehz,Web Jan 25,kan-ptwt-ehz,2025-07-24,Processed
2025-07-24 19:05:12.642,2025-07-24 17:37 gfq-aghr-gbi,Web May 25,gfq-aghr-gbi,2025-07-24,Processed
2025-07-24 19:09:31.976,2025-07-24 17:48 rit-sszz-pbh,Data May 25,rit-sszz-pbh,2025-07-24,Processed
2025-07-24 19:17:54.485,2025-07-14 17:41 rna-gvmc-zds,Monday Night Speaker,rna-gvmc-zds,2025-07-14,Speaker Session Logged
2025-07-24 19:19:31.800,2025-07-14 18:22 rna-gvmc-zds,Monday Night Speaker,rna-gvmc-zds,2025-07-14,Speaker Session Logged
2025-07-24 19:26:01.702,2025-07-21 17:40 rna-gvmc-zds,Monday Night Speaker,rna-gvmc-zds,2025-07-21,Speaker Session Logged
2025-07-24 19:34:08.701,2025-07-24 17:38 ecg-nndy-umh,AI Jan 25,ecg-nndy-umh,2025-07-24,Processed
